<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20130717,000000,1291.54,1300.57,1270.16,1275.58,66657
20130718,000000,1274.25,1288.64,1274.14,1283.88,57274
20130719,000000,1283.14,1297.86,1282.34,1295.59,51518
20130722,000000,1297.08,1339.32,1295.88,1335.53,55179
20130723,000000,1334.72,1346.69,1326.71,1344.93,59854
20130724,000000,1347.32,1347.38,1313.08,1321.94,63225
20130725,000000,1321.22,1337.82,1308.87,1333.45,60865
20130726,000000,1332.72,1340.72,1312.35,1333.08,59056
20130729,000000,1333.18,1338.33,1322.87,1327.98,54535
20130730,000000,1326.78,1330.10,1317.65,1326.03,48234
