Date,Open,High,Low,Close,Volume
2013-07-17,1291.54,1300.57,1270.16,1275.58,66657
2013-07-18,1274.25,1288.64,1274.14,1283.88,57274
2013-07-19,1283.14,1297.86,1282.34,1295.59,51518
2013-07-22,1297.08,1339.32,1295.88,1335.53,55179
2013-07-23,1334.72,1346.69,1326.71,1344.93,59854
2013-07-24,1347.32,1347.38,1313.08,1321.94,63225
2013-07-25,1321.22,1337.82,1308.87,1333.45,60865
2013-07-26,1332.72,1340.72,1312.35,1333.08,59056
2013-07-29,1333.18,1338.33,1322.87,1327.98,54535
2013-07-30,1326.78,1330.1,1317.65,1326.03,48234
2013-07-31,1326.03,1339.78,1322.05,1326.03,180972
2013-08-01,1326.03,1336.02,1312.78,1332.22,117035
2013-08-02,1332.22,1332.4,1330.81,1330.95,172173
2013-08-05,1330.95,1340.95,1327.3,1338.92,61742
2013-08-06,1338.92,1367.84,1336.41,1357.35,87477
2013-08-07,1357.35,1357.36,1354.78,1354.78,135293
2013-08-08,1354.78,1357.95,1350.44,1352.23,82531
2013-08-09,1352.23,1373.56,1351.99,1371.46,85666
2013-08-12,1371.46,1388.29,1369.68,1380.95,74025
2013-08-13,1380.95,1409.39,1363.34,1375.37,25338
2013-08-14,1375.37,1392.64,1363.23,1382.13,21195
2013-08-15,1382.13,1398.53,1366.72,1376.62,100570
2013-08-16,1376.62,1382.49,1361.23,1371.13,104235
2013-08-19,1371.13,1391.74,1357.28,1374.24,164688
2013-08-20,1374.24,1375.64,1349.35,1351.42,92435
2013-08-21,1351.42,1353.14,1310.85,1331.29,41952
2013-08-22,1331.29,1331.51,1325.02,1325.08,135475
2013-08-23,1325.08,1340.95,1312.49,1313.71,117469
2013-08-26,1313.71,1325.08,1307.41,1317.82,127208
2013-08-27,1317.82,1348.4,1302.26,1307.75,79832
2013-08-28,1307.75,1308.16,1291.49,1292.06,72971
2013-08-29,1292.06,1309.98,1291.52,1309.45,127174
2013-08-30,1309.45,1320.48,1299.68,1307.34,30967
2013-09-02,1307.34,1320.29,1297.75,1308.62,81423
2013-09-03,1308.62,1313.78,1291.12,1292.78,76099
2013-09-04,1292.78,1327.87,1267.41,1287.16,103412
2013-09-05,1287.16,1298.57,1281.16,1289.03,116735
2013-09-06,1289.03,1301.86,1246.96,1276.61,142077
2013-09-09,1276.61,1286.92,1273.08,1281.51,179826
2013-09-10,1281.51,1308.04,1267.37,1275.38,121380
2013-09-11,1275.38,1279.37,1250.41,1272.77,109202
2013-09-12,1272.77,1277.4,1263.79,1266.72,133557
2013-09-13,1266.72,1293.2,1257.07,1288.31,117580
2013-09-16,1288.31,1293.84,1269.78,1288.77,99776
2013-09-17,1288.77,1299.05,1273.77,1277.42,127821
2013-09-18,1277.42,1290.94,1276.56,1287.4,39285
2013-09-19,1287.4,1291.86,1271.35,1274.23,120026
2013-09-20,1274.23,1277.28,1273.77,1277.27,127953
2013-09-23,1277.27,1280.14,1252.99,1256.06,13866
2013-09-24,1256.06,1263.25,1229.24,1242.2,127739
2013-09-25,1242.2,1250.92,1238.88,1245.21,127342
2013-09-26,1245.21,1277.08,1240.28,1254.19,85228
2013-09-27,1254.19,1260.42,1253.38,1256.89,58825
2013-09-30,1256.89,1285.41,1235.55,1256.4,74829
2013-10-01,1256.4,1267.75,1217.66,1253.85,55339
2013-10-02,1253.85,1256.48,1229.15,1238.4,106400
2013-10-03,1238.4,1246.02,1221.58,1231.44,85609
2013-10-04,1231.44,1238.86,1222.69,1227.36,61449
2013-10-07,1227.36,1244.3,1226.73,1239.81,101311
2013-10-08,1239.81,1246.85,1230.19,1244.45,135607
2013-10-09,1244.45,1270.29,1213.09,1226.1,40138
2013-10-10,1226.1,1231.3,1213.32,1230.56,63125
2013-10-11,1230.56,1233.38,1226.38,1227.32,71130
2013-10-14,1227.32,1228.62,1220.31,1220.95,166938
2013-10-15,1220.95,1252.14,1205.89,1228.54,132455
2013-10-16,1228.54,1253.58,1204.39,1240.72,55098
2013-10-17,1240.72,1264.74,1237.28,1251.85,122059
2013-10-18,1251.85,1253.68,1237.26,1243.46,141892
2013-10-21,1243.46,1247.13,1240.25,1240.95,38755
2013-10-22,1240.95,1249.52,1240.51,1245.48,144974
2013-10-23,1245.48,1259.74,1240.76,1257.13,99057
2013-10-24,1257.13,1257.67,1251.76,1252.65,94741
2013-10-25,1252.65,1257.62,1233.14,1251.44,169983
2013-10-28,1251.44,1275.85,1227.11,1240.14,79881
2013-10-29,1240.14,1241.19,1227.19,1228.03,68649
2013-10-30,1228.03,1246.47,1220.19,1237.84,97312
2013-10-31,1237.84,1260.42,1223.13,1253.67,76797
2013-11-01,1253.67,1255.38,1252.11,1253.73,103038
2013-11-04,1253.73,1270.73,1240.9,1265.74,134766
2013-11-05,1265.74,1280.07,1265.26,1270.58,127333
2013-11-06,1270.58,1273.71,1257.25,1264.15,68560
2013-11-07,1264.15,1274.87,1250.21,1269.0,90765
2013-11-08,1269.0,1314.74,1254.71,1287.13,75765
